date,currency_pair,open,high,low,close,adjusted_close,volume,source
2026-01-13,CNH/USD,0.143418318248,0.143534626293,0.143336090164,0.143401042526,,,https://www.myfxbook.com/forex-market/currencies/USDCNH-historical-data ; transformed from USD/CNH to CNH/USD
2026-01-14,CNH/USD,0.143401659444,0.143537922719,0.143305895031,0.143472022956,,,https://www.myfxbook.com/forex-market/currencies/USDCNH-historical-data ; transformed from USD/CNH to CNH/USD
2026-01-15,CNH/USD,0.143477580911,0.143653393093,0.143389322084,0.143622032769,,,https://www.myfxbook.com/forex-market/currencies/USDCNH-historical-data ; transformed from USD/CNH to CNH/USD
2026-01-16,CNH/USD,0.143622239042,0.143665156746,0.143466671258,0.143525973895,,,https://www.myfxbook.com/forex-market/currencies/USDCNH-historical-data ; transformed from USD/CNH to CNH/USD
2026-01-18,CNH/USD,0.143611513622,0.14367754162,0.143542867642,0.143660822544,,,https://www.myfxbook.com/forex-market/currencies/USDCNH-historical-data ; transformed from USD/CNH to CNH/USD
2026-01-19,CNH/USD,0.1436614417,0.143795097738,0.143630284158,0.143770082883,,,https://www.myfxbook.com/forex-market/currencies/USDCNH-historical-data ; transformed from USD/CNH to CNH/USD
2026-01-20,CNH/USD,0.143784553225,0.14389938555,0.143727722203,0.143793443594,,,https://www.myfxbook.com/forex-market/currencies/USDCNH-historical-data ; transformed from USD/CNH to CNH/USD
2026-01-21,CNH/USD,0.143799853612,0.143819707615,0.143601202229,0.143696329421,,,https://www.myfxbook.com/forex-market/currencies/USDCNH-historical-data ; transformed from USD/CNH to CNH/USD
2026-01-22,CNH/USD,0.143699426783,0.143762435451,0.143299528974,0.143615844849,,,https://www.myfxbook.com/forex-market/currencies/USDCNH-historical-data ; transformed from USD/CNH to CNH/USD
2026-01-23,CNH/USD,0.143590273769,0.143931074287,0.143546370502,0.143926309729,,,https://www.myfxbook.com/forex-market/currencies/USDCNH-historical-data ; transformed from USD/CNH to CNH/USD
2026-01-25,CNH/USD,0.144033277448,0.144049668326,0.143892138453,0.143918645668,,,https://www.myfxbook.com/forex-market/currencies/USDCNH-historical-data ; transformed from USD/CNH to CNH/USD
2026-01-26,CNH/USD,0.144039293919,0.144056931299,0.143756028768,0.143911603737,,,https://www.myfxbook.com/forex-market/currencies/USDCNH-historical-data ; transformed from USD/CNH to CNH/USD
2026-01-27,CNH/USD,0.143926102582,0.144281614627,0.143750655862,0.144244361488,,,https://www.myfxbook.com/forex-market/currencies/USDCNH-historical-data ; transformed from USD/CNH to CNH/USD
2026-01-28,CNH/USD,0.144233126888,0.144286819111,0.143904562494,0.144026846604,,,https://www.myfxbook.com/forex-market/currencies/USDCNH-historical-data ; transformed from USD/CNH to CNH/USD
2026-01-29,CNH/USD,0.144043858474,0.144135210358,0.14379199625,0.144013779238,,,https://www.myfxbook.com/forex-market/currencies/USDCNH-historical-data ; transformed from USD/CNH to CNH/USD
2026-01-30,CNH/USD,0.144023320256,0.14402601686,0.143657520471,0.143736398943,,,https://www.myfxbook.com/forex-market/currencies/USDCNH-historical-data ; transformed from USD/CNH to CNH/USD
2026-02-01,CNH/USD,0.14378000509,0.143808745873,0.143627602353,0.143703763314,,,https://www.myfxbook.com/forex-market/currencies/USDCNH-historical-data ; transformed from USD/CNH to CNH/USD
2026-02-02,CNH/USD,0.143779178187,0.144143313048,0.143625745777,0.14407291242,,,https://www.myfxbook.com/forex-market/currencies/USDCNH-historical-data ; transformed from USD/CNH to CNH/USD
2026-02-03,CNH/USD,0.14407498815,0.144290982968,0.144033484905,0.144220646051,,,https://www.myfxbook.com/forex-market/currencies/USDCNH-historical-data ; transformed from USD/CNH to CNH/USD
2026-02-04,CNH/USD,0.144219606079,0.144328676809,0.144026431731,0.14407913979,,,https://www.myfxbook.com/forex-market/currencies/USDCNH-historical-data ; transformed from USD/CNH to CNH/USD
2026-02-05,CNH/USD,0.144089519937,0.144230006476,0.143937496581,0.144092011395,,,https://www.myfxbook.com/forex-market/currencies/USDCNH-historical-data ; transformed from USD/CNH to CNH/USD
2026-02-06,CNH/USD,0.144116307625,0.144321594696,0.144059836694,0.144307432554,,,https://www.myfxbook.com/forex-market/currencies/USDCNH-historical-data ; transformed from USD/CNH to CNH/USD
2026-02-08,CNH/USD,0.144359721328,0.144366181933,0.144275577896,0.144298478517,,,https://www.myfxbook.com/forex-market/currencies/USDCNH-historical-data ; transformed from USD/CNH to CNH/USD
2026-02-09,CNH/USD,0.144360346523,0.144627172842,0.144238535921,0.144617342512,,,https://www.myfxbook.com/forex-market/currencies/USDCNH-historical-data ; transformed from USD/CNH to CNH/USD
